name,jmag,K_RV
pi Men c,4.869,"(1.38, 0.19)"
CoRoT-7 b,10.301,"(3.81, 0.71)"
HD 3167 b,7.548,"(3.73, 0.32)"
HD 3167 c,7.548,"(2.29, 0.26)"
HD 20329 b,7.492,"(5.07, 0.42)"
HD 63935 b,7.304,"(3.18, -0.52, 0.55)"
HD 63935 c,7.304,"(2.71, -0.49, 0.52)"
HD 80653 b,8.315,"(3.58, 0.24)"
HD 86226 c,6.839,"(2.89, -0.43, 0.46)"
HD 93963 c,8.108,"(7.5, 1.6)"
HD 95338 b,7.099,"(8.17, -0.39, 0.42)"
HD 110113 b,8.903,"(2.15, 0.28)"
HD 119130 b,8.73,"(6.1, 1.1)"
HD 136352 b,4.308,"(1.48, 0.13)"
HD 136352 c,4.308,"(2.6, 0.13)"
HD 137496 b,8.646,"(2.14, 0.29)"
HD 183579 b,7.518,"(3.8, -1.15, 1.1)"
HD 191939 b,7.597,"(3.68, 0.27)"
HD 191939 c,7.597,"(1.86, 0.27)"
HD 191939 d,7.597,"(0.6, 0.22)"
HD 213885 b,6.806,"(5.3, 0.39)"
K2-93 b,7.982,"(1.63, 0.27)"
K2-106 b,10.77,"(6.52, 0.52)"
K2-131 b,10.57,"(7.03, 1.42)"
K2-138 c,10.756,"(2.78, -0.55, 0.5)"
K2-138 d,10.756,"(3.03, 0.52)"
K2-138 e,10.756,"(4.31, 0.67)"
K2-222 b,8.423,"(2.29, 0.43)"
K2-263 b,10.216,"(2.82, 0.48)"
K2-265 b,9.726,"(3.34, 0.43)"
K2-291 b,8.765,"(3.32, 0.57)"
K2-314 b,10.216,"(3.55, 0.43)"
K2-314 c,10.216,"(3.66, 0.46)"
K2-314 d,10.216,"(1.97, -0.47, 0.54)"
Kepler-10 b,9.889,"(2.78, -0.54, 0.49)"
Kepler-10 c,9.889,"(2.38, 0.3)"
Kepler-11 d,12.548,"(1.72, 0.36)"
Kepler-19 b,10.719,"(2.13, -0.81, 0.9)"
Kepler-20 b,11.252,"(4.05, -0.76, 0.62)"
Kepler-20 c,11.252,"(4.02, -0.74, 0.77)"
Kepler-23 b,12.353,
Kepler-23 c,12.353,
Kepler-24 b,13.763,
Kepler-24 c,13.763,
Kepler-30 b,13.997,
Kepler-33 e,12.871,
Kepler-33 f,12.871,
Kepler-36 b,11.124,
Kepler-36 c,11.124,
Kepler-60 b,12.804,
Kepler-60 c,12.804,
Kepler-60 d,12.804,
Kepler-65 d,10.066,
Kepler-93 b,8.771,"(1.54, 0.4)"
Kepler-95 b,11.21,"(3.36, 0.6)"
Kepler-105 c,11.811,
Kepler-107 c,11.392,"(3.18, 0.62)"
Kepler-128 b,10.373,
Kepler-128 c,10.373,
Kepler-223 b,14.095,
Kepler-289 c,12.861,
Kepler-307 b,12.833,
Kepler-307 c,12.833,
Kepler-406 b,11.34,"(2.89, 0.6)"
Kepler-454 b,10.357,"(1.87, 0.4)"
Kepler-538 b,10.026,"(1.89, 0.43)"
Kepler-1705 b,14.21,
Kepler-1705 c,14.21,
TOI-125 b,9.466,"(4.11, 0.36)"
TOI-125 c,9.466,"(2.25, 0.33)"
TOI-125 d,9.466,"(3.61, 0.31)"
TOI-130 b,6.949,"(1.93, 0.35)"
TOI-132 b,10.141,"(11.38, 0.85)"
TOI-220 b,9.03,"(4.56, 0.32)"
TOI-421 c,8.547,"(4.66, 0.29)"
TOI-561 b,8.879,"(2.19, 0.39)"
TOI-561 c,8.879,"(2.07, 0.4)"
TOI-561 d,8.879,"(3.15, 0.27)"
TOI-561 e,8.879,"(2.46, 0.29)"
TOI-849 b,10.832,"(28.64, -1.82, 1.87)"
TOI-1062 b,8.777,"(4.27, 0.33)"
TOI-1422 b,9.585,"(2.47, -0.46, 0.5)"
TOI-1444 b,9.465,"(3.3, 0.59)"
TOI-2000 b,9.715,"(4.59, 1.0)"
WASP-47 c,10.613,"(30.15, 4.17)"
WASP-47 d,10.613,"(4.01, 1.03)"
HD 307842 b,8.071,"(4.67, 0.2)"
K2-93 b,7.982,
K2-182 b,10.408,"(8.4, 2)"
TOI-469 b,8.056,"(2.8, 0.2)"
TOI-469 c,8.056,"(2.1, 0.1)"
TOI-733 b,8.22,"(2.23, 0.26)"
TOI-908 b,10.04,"(7.244, 1.768)"
TOI-1054 b,7.905,"(1.92, 0.25)"
GJ 3053 b,9.612,"(4.21, 0.24)"
GJ 3053 c,9.612,"(2.22, 0.2)"
LHS 1478 b,9.615,"(3.13, 0.25)"
TOI-1634 b,9.484,"(8.13, 0.82)"
TOI-1685 b,9.616,"(4.07, 0.84)"
GJ 3473 b,9.627,"(2.21, 0.35)"
L98-59 c,7.933,"(2.19, 0.2)"
L98-59 d,7.933,"(1.5, 0.22)"
K2-146 b,12.183,"(4.94, 0.58)"
K2-146 c,12.183,"(5.64, -0.65, 0.73)"
GJ 357 b,7.337,"(1.52, 0.25)"
TOI-1235 b,8.711,"(3.79, 0.4)"
GJ 1132 b,9.245,"(2.77, 0.69)"
LTT 3780 b,9.007,"(3.36, 0.46)"
LTT 3780 c,9.007,"(4.08, -0.49, 0.56)"
K2-18 b,9.763,"(3.36, 0.64)"
TOI-776 b,8.483,"(1.88, -0.44, 0.4)"
GJ 486 b,7.195,"(3.37, 0.08)"
GJ 1214 b,9.75,"(12.63, 1.39)"
GJ 1252 b,8.697,"(2.58, 0.64)"
TRAPPIST-1 b,11.354,"(3.82, -0.16, 0.24)"
TRAPPIST-1 c,11.354,"(3.09, 0.16)"
TRAPPIST-1 f,11.354,"(1.58, 0.06)"
TRAPPIST-1 g,11.354,"(1.82, 0.07)"
CD-60 8051 b,7.941,"(3.66, 0.47)"
TOI-270 b,9.099,"(1.27, 0.21)"
TOI-270 c,9.099,"(4.16, 0.24)"
TOI-270 d,9.099,"(2.56, 0.23)"
K2-25 b,11.303,"(27.9, -6.0, 6.5)"
TOI-269 b,10.909,"(7.6, 1.2)"
TOI-1231 b,8.876,"(5.6, 1.2)"
G 9-40 b,10.058,
GJ 806 b,7.329,"(2.25, 0.2)"
GJ 3090 b,8.168,"(2.38, 0.51)"
Kepler-54 b,13.508,
Kepler-54 c,13.508,
LTT 1445A b,7.294,"(2.6, 0.21"
LTT 1445A c,7.294,"(1.67, 0.21)"
TOI-1075 b,9.935,"(10.95, -1.43, 1.5)"
TOI-1201 b,9.528,"(4.65, -0.64, 0.6)"
TOI-1468 b,9.343,"(3.4, 0.25)"
TOI-1468 c,9.343,"(3.48, 0.35)"
TOI-1695 b,9.64,"(4.01, 0.68)"
Kepler-138 d,10.293,"(0.395, 0.09)"
TOI-1470 b,10.154,"(5.67, 0.96)"
