name,host,p,a,m,rp,g,dp,T,teff,ms,rs,logg,met,ref,pe,ae+,ae-,me+,me-,rpe+,rpe-,ge+,ge-,dpe+,dpe-,Te+,Te-,teffe+,teffe-,mse+,mse-,rse+,rse-,logge+,logge-,mete+,mete-,rpe,me,rpe%,me%,dpe,fp,fpe,fpe+,fpe-,Te,rse,mse,teffe,Host type,Likely nature,wwprob_migrationA_photev,wwprob_migrationB_photev,wwprob_migrationB_impact,namealt,sp
pi Men c,pi Men,6.267852,0.06876,3.623107837,2.147789798,11,0.380917831,1170,5998,1.091,1.19,4.365,0.09,2022AJ....163..223H,1.60E-05,0.00065,0.00065,0.381379772,0.381379772,0.014587914,0.014587914,1.9,9.5,0.072555777,0.072555777,2.8,4.3,62,62,0.031,0.031,0.004,0.004,0.007,0.007,0.04,0.04,0.014587914,0.381379772,0.679205852,10.52631579,0.072555777,1.516661742,0.159980601,0.159980601,0.159980601,3.55,0.004,0.031,62,G,gas-rich,"(11.8, 7.3)","(10.2, 6.7)","(15.7, 4.9)",,
CoRoT-7 b,CoRoT-07,0.85359159,0.01702,6.070294709,1.582227594,21.5,0.888808271,1756,5313,0.884,0.8389,4.573,0.03,2022MNRAS.515.3975J,5.70E-07,0.00017,4.00E-05,0.635632954,0.635632954,0.100993251,0.100993251,3.5,3,0.380917831,0.417195719,27,27,73,73,0.029,0.032,0.0093,0.0088,0.011,0.011,0.07,0.07,0.100993251,0.635632954,6.382978723,10.47120419,0.399056775,0.971830749,0.119178523,0.119178523,0.119178523,27,0.00905,0.0305,73,G,bare rocky,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",,
HD 3167 b,HD 003167,0.95965428,0.01802,4.735465506,1.678732256,,0.752766189,1777,5300,0.852,0.871,4.47,0.037,2022A+A...668A..31B,3.00E-07,0.00025,0.00025,0.286034829,0.286034829,0.035908711,0.035908711,,,0.070741883,0.067114094,27,27,73,73,0.026,0.015,0.006,0.006,0.05,0.05,0.048,0.048,0.035908711,0.286034829,2.139037433,6.040268456,0.068927988,1.102683768,0.070658135,0.070658135,0.070658135,27,0.006,0.0205,73,G,bare rocky,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",,
HD 3167 c,HD 003167,29.846495,0.1783,10.67863362,2.922071386,,0.321059314,565,5300,0.852,0.871,4.47,0.037,2022A+A...668A..31B,1.60E-05,0.0025,0.0025,0.858104488,0.794541192,0.049374478,0.048252331,,,0.030836205,0.029022311,9,9,73,73,0.026,0.015,0.006,0.006,0.05,0.05,0.048,0.048,0.048813404,0.82632284,1.670506912,7.738095238,0.029929258,1.54068413,0.121966059,0.121966059,0.121966059,9,0.006,0.0205,73,G,gas-rich,"(47.5, 6.9)","(72.4, 8.1)","(81.6, 2.3)",,
HD 20329 b,HD 020329,0.926118,0.018,7.405123912,1.716885261,24.7,1.106475603,2141,5596,0.9,1.13,4.4,-0.07,2022A+A...668A.158M,0.00047,0.0003,0.0003,1.080576021,1.080576021,0.067328834,0.067328834,4.1,4.1,0.217667332,0.217667332,17,17,50,50,0.05,0.05,0.02,0.02,0.07,0.07,0.06,0,0.067328834,1.080576021,3.921568627,14.59227468,0.217667332,0.999384328,0.151007329,0.151007329,0.151007329,17,0.02,0.05,50,G,bare rocky,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",,
HD 63935 b,HD 063935,9.058811,0.083100698,10.80576021,2.996133103,,0.290223109,911,5534,0.933,0.959,4.38,0.07,2021AJ....162..215S,1.70E-05,0.004809687,0.004809687,1.811553918,1.811553918,0.134657668,0.134657668,,,0.072555777,0.072555777,27,27,100,100,0.054,0.054,0.042,0.042,0.1,0.1,0.06,0.06,0.134657668,1.811553918,4.494382022,16.76470588,0.072555777,1.574689018,0.273313957,0.273313957,0.273313957,27,0.042,0.054,100,G,gas-rich,"(25.5, 13.4)","(26.5, 15.6)","(32.1, 11.1)",,
HD 63935 c,HD 063935,21.402,0.147409943,11.09179504,2.906361325,,0.344639942,684,5534,0.933,0.959,4.38,0.07,2021AJ....162..215S,0.001005265,0.008531775,0.008531775,2.383623577,2.383623577,0.134657668,0.134657668,,,0.090694722,0.090694722,21,21,100,100,0.054,0.054,0.042,0.042,0.1,0.1,0.06,0.06,0.134657668,2.383623577,4.633204633,21.48997135,0.090694722,1.516759337,0.333440646,0.333440646,0.333440646,21,0.042,0.054,100,G,gas-rich,"(44.8, 17.4)","(59.7, 16.8)","(59.7, 23.1)",,
HD 80653 b,HD 080653,0.719573,0.0166,5.593569993,1.614769863,,1.015780882,3167,6022,1.18,1.22,4.34,0.25,2020A+A...633A.133F,2.10E-05,0.0003,0.0003,0.444943068,0.444943068,0.070695275,0.070695275,,,0.145111555,0.145111555,40,40,72,72,0.04,0.04,0.01,0.01,0.02,0.02,0.05,0.05,0.070695275,0.444943068,4.378040306,7.954545455,0.145111555,1.013987279,0.092067605,0.092067605,0.092067605,40,0.01,0.04,72,G,bare rocky,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",,
HD 86226 c,HD 086226,3.98442,0.049,7.246215673,2.165744153,,0.542354435,1311,5863,1.019,1.053,4.4,0.018,2020AJ....160...96T,0.00018,0.001,0.001,1.175920965,1.112357669,0.078550306,0.078550306,,,0.107019771,0.099764194,28,28,88,88,0.061,0.066,0.026,0.026,0.029,0.032,0.057,0.043,0.078550306,1.144139317,3.626943005,15.78947368,0.103391983,1.268074149,0.205436699,0.205436699,0.205436699,28,0.026,0.0635,88,G,bare water,"(11.0, 18.1)","(3.1, 8.2)","(2.2, 1.7)",,
HD 93963 c,HD 093963,3.64514,0.04813,19.06898861,3.231784021,,0.564937848,1344,5987,1.109,1.043,4.49,0.1,2022A+A...667A...1S,1.20E-05,0.00085,0.00085,3.813797723,3.813797723,0.059473803,0.059473803,,,0.113464869,0.113464869,18,18,64,64,0.043,0.043,0.009,0.009,0.11,0.11,0.04,0.04,0.059473803,3.813797723,1.840277778,20,0.113464869,1.45682648,0.292596127,0.292596127,0.292596127,18,0.009,0.043,64,G,gas-rich,"(3.1, 6.0)","(2.0, 4.7)","(2.1, 1.3)",,
