name,host,p,a,m,rp,g,dp,T,teff,ms,rs,logg,met,ref,pe,ae+,ae-,me+,me-,rpe+,rpe-,ge+,ge-,dpe+,dpe-,Te+,Te-,teffe+,teffe-,mse+,mse-,rse+,rse-,logge+,logge-,mete+,mete-,rpe,me,rpe%,me%,dpe,fp,fpe,fpe+,fpe-,Te,rse,mse,teffe,Host type,Likely nature,wwprob_migrationA_photev,wwprob_migrationB_photev,wwprob_migrationB_impact
HD 307842 b,HD 307842,2.7970365,0.038,9.661620898,1.930093235,,1.015780882,,5558,0.91,0.907,4.48,-0.13,2023AJ....166...32H,3.10E-06,0.001,0.001,0.82632284,0.82632284,0.112214723,0.089771778,,,0.199528387,0.163250499,,,100,100,0.1,0.1,0.017,0.017,0.1,0.1,0.08,0.08,0.100993251,0.82632284,5.23255814,8.552631579,0.181389443,1.045559039,0.104831136,0.104831136,0.104831136,,0.017,0.1,100,G,bare rocky,"(2.3, 4.8)","(0.2, 0.8)","(0.3, 0.4)"
K2-93 c,K2-093,31.7061,0.2061,4.385867381,2.73018421,,0.163250499,757,6320,1.16,1.273,4.294,-0.1,arXiv:1911.07355,0.0002,0.0024,0.0024,1.112357669,1.112357669,0.06059595,0.06059595,,,0.041719572,0.041719572,7,4,60,30,0.04,0.04,0.015,0.015,0.006,0.006,0.07,0.07,0.06059595,1.112357669,2.219482121,25.36231884,0.041719572,1.830894998,0.466132102,0.466132102,0.466132102,5.5,0.015,0.04,45,G,gas-rich,"(56.6, 12.8)","(75.7, 20.8)","(82.6, 15.2)"
K2-182 b,K2-182,4.7369696,0.0526,20.02243804,2.693153351,,0.761835661,969,5710,0.865,0.793,4.61,0.12,2021AJ....162..294A,1.70E-06,0.0003,0.0003,5.08506363,5.08506363,0.067328834,0.044885889,,,0.199528387,0.199528387,20,20,100,100,0.016,0.018,0.013,0.011,0.1,0.1,0.06,0.06,0.056107361,5.08506363,2.083333333,25.3968254,0.199528387,1.198118415,0.305306108,0.305306108,0.305306108,20,0.012,0.017,100,G,gas-rich,"(13.7, 20.7)","(6.0, 13.0)","(4.8, 2.9)"
TOI-469 b,TOI-469,13.63083,0.107,9.598057602,3.478656412,,0.177761654,777,5289,0.88,0.993,4.39,0.24,arXiv:2308.13310,3.00E-05,0.0016,0.0016,0.794541192,0.794541192,0.067328834,0.078550306,,,0.027208416,0.027208416,18,18,69,69,0.04,0.03,0.035,0.033,0.03,0.03,0.05,0.05,0.07293957,0.794541192,2.096774194,8.278145695,0.027208416,1.887802581,0.161210115,0.161210115,0.161210115,18,0.034,0.035,69,G,gas-rich,"(38.6, 7.6)","(48.8, 10.1)","(53.1, 4.5)"
TOI-469 c,TOI-469,3.53796,0.0436,4.512993972,1.582227594,,0.852530383,1217,5289,0.88,0.993,4.39,0.24,arXiv:2308.13310,3.00E-05,0.0006,0.0007,0.286034829,0.286034829,0.100993251,0.112214723,,,0.235806276,0.181389443,29,29,69,69,0.04,0.03,0.035,0.033,0.03,0.03,0.05,0.05,0.106603987,0.286034829,6.737588652,6.338028169,0.20859786,1.052898698,0.097394952,0.097394952,0.097394952,29,0.034,0.035,69,G,bare rocky,"(6.0, 10.8)","(1.4, 3.9)","(0.9, 0.9)"
TOI-733 b,TOI-733,4.884765,0.0618,5.720696584,1.994055627,17.5,0.544168329,1056,5585,0.956,0.949,4.47,-0.04,2023A+A...674A.117G,2.20E-05,0.0036,0.0039,0.699196249,0.667414601,0.085283189,0.089771778,3.4,3.2,0.105205877,0.090694722,36,31,60,60,0.05,0.026,0.008,0.012,0.05,0.05,0.05,0.05,0.087527484,0.683305425,4.389420371,11.94444444,0.097950299,1.244575784,0.158377716,0.158377716,0.158377716,33.5,0.01,0.038,60,G,bare water,"(15.9, 21.9)","(10.4, 18.3)","(4.6, 3.4)"
TOI-908 b,TOI-908,3.183792,0.0417,16.20864032,3.189142427,,0.375476147,1317,5626,0.95,1.028,4.45,0.08,2023MNRAS.524.3877H,7.00E-06,0.0002,0.0002,4.1316142,4.1316142,0.054985214,0.054985214,,,0.0326501,0.04897515,38,38,61,61,0.01,0.01,0.03,0.03,0.03,0.03,0.04,0.04,0.054985214,4.1316142,1.724137931,25.49019608,0.040812625,1.502157182,0.383777715,0.383777715,0.383777715,38,0.03,0.01,61,G,gas-rich,"(2.8, 8.3)","(0.9, 3.4)","(1.0, 0.8)"
TOI-1054 b,TOI-1054,15.507612,0.1236,7.691158741,3.09039347,7.9,0.195900599,,6088,1.044,1.205,4.32,-0.185,2023A+A...675A.183C,3.80E-05,0.002,0.002,0.985231078,0.985231078,0.058351656,0.05274092,1.3,1.3,0.029022311,0.029022311,,,62,62,0.038,0.044,0.008,0.008,0.02,0.02,0.042,0.042,0.055546288,0.985231078,1.797385621,12.80991736,0.029022311,1.780559706,0.230322523,0.230322523,0.230322523,,0.008,0.041,62,G,gas-rich,"(39.6, 12.4)","(49.4, 9.5)","(56.0, 4.8)"
Kepler-138 d,Kepler-138,23.0923,0.1288,2.097588747,1.51489876,9.8,0.489751496,345,3841,0.535,0.535,4.71,-0.18,2023NatAs...7..206P,0.0006,0.001,0.001,0.603851306,0.699196249,0.044885889,0.044885889,2.8,2.9,0.145111555,0.145111555,7,7,50,51,0.012,0.012,0.013,0.014,0.03,0.03,0.1,0.1,0.044885889,0.651523778,2.962962963,31.06060606,0.145111555,1.240029924,0.386909287,0.386909287,0.386909287,7,0.0135,0.012,50.5,M,bare water,"(60.1, 28.0)","(78.3, 30.3)","(65.9, 40.6)"
TOI-1470 b,TOI-1470,2.527093,0.0285,7.309778969,2.176965625,,0.52784328,734,3709,0.471,0.469,4.77,0,2023A+A...675A.177G,4.00E-06,0.0004,0.0004,1.207702612,1.23948426,0.044885889,0.044885889,,,0.096136405,0.092508616,,,11,11,0.011,0.011,0.003,0.003,0.02,0.02,0.03,0.03,0.044885889,1.223593436,2.06185567,16.73913043,0.09432251,1.27163929,0.214470076,0.214470076,0.214470076,,0.003,0.011,11,M,bare water,"(4.5, 11.8)","(17.5, 32.8)","(16.3, 19.2)"
