# Title: Where are the Water Worlds? Identifying the Exo-water-worlds Using Models of Planet Formation and Atmospheric Evolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Authors: Aritra Chakrabarty & Gijs D. Mulders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On: 29-08-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Table: Properties of the sample list of observed planets with precise radius (8%) and mass (25%) measurements along with probabilities of being water worlds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Columns:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    planet: Planet name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    mp: Planet mass in Earth-unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    mpe+: Upper unc. in planet mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    mpe-: Lower unc. in planet mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    rp: Planet radius in Earth-unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    rpe+: Upper unc. in planet radius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    rpe-: Lower unc. in planet radius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    P: Period (days),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    Pe: Unc. im period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    teq: Equilibrium temperature (K) of planet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    teqe: Unc. in equilibrium temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    dp: Planet density in Earth-unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    dpe: Unc. in planet density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    Fp: F-value of planet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    Fpe: Unc. in F-value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    ms: Stellar mass in solar unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    mse+: Upper unc. in stellar mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    mse-: Lower unc. in stellar mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    rs: stellar radius in solar unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    rse+: Upper unc. in stellar radius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    rse-: Lower unc. in stellar radius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    teff: Effectove temperature (K) of host star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    teffe: Unc. in effective temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    logg: logg of host star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    met: metallicity of hist star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    Host type: Type of host star used in models (G or M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    Likely nature: Likely nature of planet (bare rocky, bare water, or gas-rich),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    migrationA_photev_wwprob: Probability of being a water world (%) according to migration-A + photo-evaporation model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    migrationA_photev_wwprobe: Unc. in probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    migrationB_photev_wwprob: Probability of being a water world (%) according to migration-B + photo-evaporation model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    migrationB_photev_wwprobe: Unc. in probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    migrationB_imact_wwprob: Probability of being a water world (%) according to migration-B + impact model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    migrationB_imact_wwprobe: Unc. in probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    TSM: Transmission spectroscopic metric for JWST/NIRISS (Kempton et al. 2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    K_RV: RV semi-amplitude (m/s) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    ref: Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
planet,mp,mpe+,mpe-,rp,rpe+,rpe-,P,Pe,teq,teqe,dp,dpe,Fp,Fpe,ms,mse+,mse-,rs,rse+,rse-,teff,teffe,logg,met,Host type,Likely nature,migrationA_photev_wwprob,migrationA_photev_wwprobe,migrationB_photev_wwprob,migrationB_photev_wwprobe,migrationB_impact_wwprob,migrationB_impact_wwprobe,TSM,K_RV,ref
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pi Men c,3.623107837,0.381379772,0.381379772,2.147789798,0.014587914,0.014587914,6.267852,1.60E-05,1170,3.55,0.380917831,0.072555777,1.516661742,0.159980601,1.091,0.031,0.031,1.19,0.004,0.004,5998,62,4.365,0.09,G,gas-rich,11.8,7.3,10.2,6.7,15.7,4.9,302.4,"(1.38, 0.19)",2022AJ....163..223H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-7 b,6.070294709,0.635632954,0.635632954,1.582227594,0.100993251,0.100993251,0.85359159,5.70E-07,1756,27,0.888808271,0.399056775,0.971830749,0.119178523,0.884,0.029,0.032,0.8389,0.0093,0.0088,5313,73,4.573,0.03,G,bare rocky,0,0,0,0,0,0,17.9,"(3.81, 0.71)",2022MNRAS.515.3975J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 3167 b,4.735465506,0.286034829,0.286034829,1.678732256,0.035908711,0.035908711,0.95965428,3.00E-07,1777,27,0.752766189,0.068927988,1.102683768,0.070658135,0.852,0.026,0.015,0.871,0.006,0.006,5300,73,4.47,0.037,G,bare rocky,0,0,0,0,0,0,91.2,"(3.73, 0.32)",2022A+A...668A..31B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 3167 c,10.67863362,0.858104488,0.794541192,2.922071386,0.049374478,0.048252331,29.846495,1.60E-05,565,9,0.321059314,0.029929258,1.54068413,0.121966059,0.852,0.026,0.015,0.871,0.006,0.006,5300,73,4.47,0.037,G,gas-rich,47.5,6.9,72.4,8.1,81.6,2.3,68.9,"(2.29, 0.26)",2022A+A...668A..31B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 20329 b,7.405123912,1.080576021,1.080576021,1.716885261,0.067328834,0.067328834,0.926118,0.00047,2141,17,1.106475603,0.217667332,0.999384328,0.151007329,0.9,0.05,0.05,1.13,0.02,0.02,5596,50,4.4,-0.07,G,bare rocky,0,0,0,0,0,0,45.8,"(5.07, 0.42)",2022A+A...668A.158M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 63935 b,10.80576021,1.811553918,1.811553918,2.996133103,0.134657668,0.134657668,9.058811,1.70E-05,911,27,0.290223109,0.072555777,1.574689018,0.273313957,0.933,0.054,0.054,0.959,0.042,0.042,5534,100,4.38,0.07,G,gas-rich,25.5,13.4,26.5,15.6,32.1,11.1,109.2,"(3.18, -0.52, 0.55)",2021AJ....162..215S
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 63935 c,11.09179504,2.383623577,2.383623577,2.906361325,0.134657668,0.134657668,21.402,0.001005265,684,21,0.344639942,0.090694722,1.516759337,0.333440646,0.933,0.054,0.054,0.959,0.042,0.042,5534,100,4.38,0.07,G,gas-rich,44.8,17.4,59.7,16.8,59.7,23.1,72.9,"(2.71, -0.49, 0.52)",2021AJ....162..215S
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 80653 b,5.593569993,0.444943068,0.444943068,1.614769863,0.070695275,0.070695275,0.719573,2.10E-05,3167,40,1.015780882,0.145111555,1.013987279,0.092067605,1.18,0.04,0.04,1.22,0.01,0.01,6022,72,4.34,0.25,G,bare rocky,0,0,0,0,0,0,43.8,"(3.58, 0.24)",2020A+A...633A.133F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 86226 c,7.246215673,1.175920965,1.112357669,2.165744153,0.078550306,0.078550306,3.98442,0.00018,1311,28,0.542354435,0.103391983,1.268074149,0.205436699,1.019,0.061,0.066,1.053,0.026,0.026,5863,88,4.4,0.018,G,bare water,11,18.1,3.1,8.2,2.2,1.7,89.5,"(2.89, -0.43, 0.46)",2020AJ....160...96T
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 93963 c,19.06898861,3.813797723,3.813797723,3.231784021,0.059473803,0.059473803,3.64514,1.20E-05,1344,18,0.564937848,0.113464869,1.45682648,0.292596127,1.109,0.043,0.043,1.043,0.009,0.009,5987,64,4.49,0.1,G,gas-rich,3.1,6,2,4.7,2.1,1.3,66.9,"(7.5, 1.6)",2022A+A...667A...1S
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 95338 b,42.42849967,2.224715338,2.0658071,3.893850887,0.190765029,0.201986501,55.087,0.02,385,17,0.544168329,0.086159985,1.414073022,0.100984121,0.83,0.02,0.02,0.87,0.04,0.04,5212,13.5,4.54,0.04,G,gas-rich,55,7.5,89.9,7.7,91.9,12,34.5,"(8.17, -0.39, 0.42)",2020MNRAS.496.4330D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
