pl_name,hostname,default_flag,pl_bmassprov,pl_controv_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim
Kepler-11 c,Kepler-11,0,Mass,0,3.15,0.3,-0.3,0,13.5,4.8,-6.1,0,13.02502,8e-05,-8e-05,0,,,,0,5680.0,100.0,-100.0,0,1.1,0.1,-0.1,0,0.95,0.1,-0.1,0,4.3,0.2,-0.2,0
Kepler-11 f,Kepler-11,0,Mass,0,2.61,0.25,-0.25,0,2.3,2.2,-1.2,0,46.68876,0.00074,-0.00074,0,,,,0,5680.0,100.0,-100.0,0,1.1,0.1,-0.1,0,0.95,0.1,-0.1,0,4.3,0.2,-0.2,0
OGLE-TR-10 b,OGLE-TR-10,1,Mass,0,14.011,1.569,-1.345,0,197.046,44.494,-44.494,0,3.101278,,,0,,,,0,5950.0,130.0,,0,1.17,0.13,,0,1.14,0.12,,0,,,,0
HR 8799 c,HR 8799,1,Mass,0,13.0,1.0,0.0,0,3000.0,1000.0,-1000.0,0,69000.0,,,0,,,,0,,,,0,,,,0,1.5,0.3,-0.3,0,,,,0
Kepler-24 c,Kepler-24,1,Mass,0,2.8,,,0,508.5,,,1,12.3335,,,0,,,,0,5800.0,200.0,-200.0,0,1.07,0.16,-0.23,0,1.03,0.11,-0.14,0,4.34,0.3,-0.3,0
CHXR 73 b,CHXR 73,1,Mass,0,,,,0,3994.486,2662.991,-1664.369,0,,,,0,,,,0,,,,0,,,,0,0.35,,,0,,,,0
Kepler-32 b,Kepler-32,1,Mass,0,2.2,0.2,-0.2,0,1303.0,,,1,5.90124,0.0001,-0.0001,0,,,,0,3900.0,200.0,-200.0,0,0.53,0.04,-0.04,0,0.58,0.05,-0.05,0,4.64,0.3,-0.3,0
WASP-176 b,WASP-176,1,Mass,0,16.87,0.56,-0.504,0,271.74465,22.88376,-21.93027,0,3.899052,5e-06,-5e-06,0,1721.0,28.0,-21.0,0,5941.0,77.0,-79.0,0,1.93,0.05,-0.04,0,1.34,0.08,-0.13,0,4.0,0.04,-0.05,0
WASP-16 b,WASP-16,0,Mass,0,13.653,0.448,-0.448,0,264.43456,12.07754,-12.07754,0,3.1186068,1.2e-06,-1.2e-06,0,1389.0,24.0,-24.0,0,5630.0,70.0,-70.0,0,1.09,0.04,-0.04,0,0.98,0.05,-0.05,0,4.36,0.02,-0.02,0
WASP-78 b,WASP-78,1,Mass,0,21.633,5.044,-5.044,0,352.7913,171.6282,-171.6282,0,2.17518,5e-06,-5e-06,0,,,,0,6100.0,150.0,-150.0,0,2.46,0.58,-0.58,0,1.87,1.36,-1.36,0,4.1,0.2,-0.2,0
HAT-P-12 b,HAT-P-12,0,Mass,0,10.749,0.325,-0.235,0,66.23577,3.05117,-2.9876,0,3.21305929,3.5e-07,-3.5e-07,0,,,,0,4650.0,60.0,-60.0,0,0.7,0.02,-0.01,0,0.73,0.02,-0.02,0,,,,0
