System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
55_Cnc_e,TEP,133.14921,28.33083,5.95,4.01,0.06433,0.039,2458723.383,0.00014,0.73654604,0.00000016,5172,18,18,0.35,0.1,0.1,0.873,0.051,0.035,0.954,0.017,0.018,4.43,0.02,0.02,1,0.11,0.07,0.05,0.03,0.03,0.01544,0.00005,0.00005,0.0243,0.0012,0.0009,0.1692,0.0039,0.0041,21.4,2.1,1.9,4.71,0.56,0.53,2349,188,193,10,17,20,23,14,12
pi_Men_c,TEP,84.29121,-80.46911,5.67,4.24,0.1246,0.03,2458509.807,0.0003,6.267852,0.000016,5998,62,62,0.09,0.04,0.04,1.091,0.031,0.031,1.19,0.004,0.004,4.365,0.007,0.007,0.7442,0.0009,0.0009,0.066,0.086,0.047,0.06876,0.00065,0.00065,0.0114,0.0012,0.0012,0.1914,0.0013,0.0013,11,1.9,9.5,2.1,0.4,0.4,1170,2.8,4.3,-24,4.1,4.1,26.9,5.8,4.7
AD_3116,BD,130.66429,19.41442,18.73,13.5,0.068,14,2457178.818,0.00008,1.982796,0.0000064,3184,29,29,0.14,0.1,0.1,0.276,0.02,0.02,0.29,0.08,0.08,-1,-1,-1,-1,-1,-1,0.146,0.024,0.016,-1,-1,-1,54.2,4.3,4.3,1.02,0.28,0.28,-1,-1,-1,-1,-1,-1,1669,244,258,-999,-999,-999,-999,-999,-999
AU_Mic_b,TEP,311.28971,-31.34089,8.63,4.53,0.1456,0.3,2458330.39,0.00072,8.46303507,0.00000025,3700,100,100,-1,-1,-1,0.5,0.03,0.03,0.75,0.03,0.03,4.39,0.03,0.03,-1,-1,-1,0.12,0.089,0.063,0.0831,0.0009,0.0016,0.12,0.19,0.05,0.4571,0.0055,0.009,13,23,6,1.1,1.9,0.5,570,5,5,-4.7,6.8,6.4,-999,-999,-999
AU_Mic_c,TEP,311.28971,-31.34089,8.63,4.53,0.1813,0.2,2458342.224,0.0022,18.859014,0.000084,3700,100,100,-1,-1,-1,0.5,0.03,0.03,0.75,0.03,0.03,4.39,0.03,0.03,-1,-1,-1,0.06,0.061,0.047,0.1417,0.0016,0.0028,0.1,0.191,0.06,0.28,0.028,0.032,32,64,18,4,9.1,2.3,436,4,3,-999,-999,-999,-999,-999,-999
CoRoT-01,TEP,102.07988,-3.10217,13.6,12.15,0.10439,2.3,2454138.304,0.000036,1.50897655,0.00000009,5950,150,150,-0.3,0.25,0.25,0.95,0.11,0.11,1.131,0.045,0.045,4.311,0.019,0.019,0.66,0.019,0.019,0,-1,-1,0.02536,0.00138,0.00022,1.03,0.1,0.1,1.551,0.064,0.064,10.65,0.69,0.69,0.259,0.021,0.021,1915,49,49,77,11,11,-999,-999,-999
CoRoT-02,TEP,291.77708,1.38372,12.57,10.31,0.09446,3.2,2455628.448,0.00014,1.74299673,0.00000031,5598,50,50,0.04,0.05,0.05,0.997,0.049,0.049,0.901,0.019,0.019,4.527,0.017,0.017,1.362,0.064,0.064,0.0143,0.0077,0.0077,0.02835,0.00047,0.00047,3.57,0.15,0.15,1.46,0.031,0.031,41.5,1.7,1.7,1.073,0.058,0.058,1521,18,18,7.2,4.5,4.5,-999,-999,-999
CoRoT-03,BD,292.05529,0.12183,13.29,11.62,0.153,0.25,2454283.134,0.00024,4.2567994,0.0000035,6558,44,44,0.14,0.04,0.04,1.403,0.061,0.061,1.575,0.094,0.094,4.191,0.046,0.046,0.359,0.058,0.058,0,-1,-1,0.05783,0.0011,0.00049,21.96,0.703,0.703,1.037,0.069,0.069,506,67,67,18.4,3.7,3.7,1695,57,57,-37.6,22.3,10,-999,-999,-999
CoRoT-04,TEP,102.19467,-0.67278,14,12.29,0.184,1.3,2454141.365,0.00098,9.2016281,0.000004,6190,60,60,0.05,0.07,0.07,1.194,0.049,0.05,1.148,0.092,0.032,4.396,0.024,0.068,0.79,0.064,0.161,0,-1,-1,0.0912,0.00125,0.0013,0.731,0.071,0.072,1.16,0.115,0.04,13.5,1.6,2.6,0.438,0.062,0.116,1058,42,17,-999,-999,-999,-999,-999,-999
CoRoT-05,TEP,101.27725,0.81525,14,12.55,0.117,1.4,2454400.199,0.00002,4.0379156,0.0000012,6100,65,65,-0.25,0.06,0.06,0.99,0.07,0.07,1.115,0.035,0.033,4.339,0.021,0.02,0.714,0.045,0.043,0.09,0.09,0.04,0.0495,0.0012,0.0012,0.459,0.053,0.032,1.256,0.046,0.045,7.24,0.88,0.48,0.217,0.035,0.028,1397,15,15,-999,-999,-999,-999,-999,-999
CoRoT-06,TEP,281.0725,6.66317,13.91,12.12,0.17,1.5,2454826.666,0.00054,8.886621,0.0000063,6090,70,70,-0.2,0.1,0.1,1.054,0.063,0.063,1.043,0.03,0.03,4.425,0.022,0.022,0.929,0.064,0.064,0,-1,-1,0.0855,0.0017,0.0017,2.96,0.34,0.34,1.185,0.041,0.041,52.3,6.4,6.4,1.66,0.23,0.23,1025,16,16,-999,-999,-999,-999,-999,-999
CoRoT-07,TEP,100.95613,-1.06303,11.72,9.81,0.04413,0.034,2454398.078,0.00059,0.85359159,0.00000057,5313,73,73,0.03,0.07,0.07,0.884,0.029,0.032,0.8389,0.0093,0.0088,4.573,0.011,0.011,1.49,0.12,0.13,0,0.32,0,0.01702,0.00017,0.00004,0.0191,0.002,0.002,0.141,0.009,0.009,21.5,3.5,3,4.9,2.1,2.3,1756,27,27,-999,-999,-999,-999,-999,-999
