System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err.1,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup.1,errdn.1,loggA,errup.2,errdn.2,rho_A,errup.3,errdn.3,e,errup.4,errdown,a(AU),errup.5,errdown.1,M_b,errup.6,errdn.4,R_b,errup.7,errdn.5,g_b,errup.8,errdn.6,rho_b,errup.9,errdn.7,Teq,err.2,err.3,Lambda,err.4,err.5,Psi,err.6,err.7
HD_307842,TEP,159.34117,-63.65503,9.41,7.64,0.095,0.03,2459336.61121,0.00047,2.7970365,3.1e-06,5558,100,100,-0.13,0.08,0.08,0.91,0.1,0.1,0.907,0.017,0.017,4.48,0.1,0.10,1.26,0.08,0.13,0.0,-1.0,-1.0,0.038,0.001,0.001,0.0304,0.0026,0.0026,0.172,0.01,0.008,-1.0,-1.0,-1,5.6,1.1,0.9,-1.0,-1.0,-1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
K2-093c,TEP,126.61604,10.08039,8.93,7.72,0.134,0.03,2457163.162,0.003,31.7061,0.0002,6320,60,30,-0.1,0.07,0.07,1.16,0.04,0.04,1.273,0.015,0.015,4.294,0.006,0.006,0.563,0.006,0.006,0.04,0.04,0.03,0.2061,0.0024,0.0024,0.0138,0.0035,0.0035,0.2433,0.0054,0.0054,-1.0,-1.0,-1,0.9,0.23,0.23,757.0,7.0,4.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
K2-182,TEP,130.18033,10.98294,12.0,9.91,0.1067,0.13,2457652.79755,0.00028,4.7369696,1.7e-06,5710,100,100,0.12,0.06,0.06,0.865,0.016,0.018,0.793,0.013,0.011,4.61,0.1,0.1,-1.0,-1.0,-1.0,0.04,0.19,0.03,0.0526,0.0003,0.0003,0.063,0.016,0.016,0.24,0.006,0.004,-1.0,-1.0,-1,4.2,1.1,1.1,969.0,20.0,20.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Kepler-138d,TEP,290.3815,43.293,13.34,9.51,0.075,0.07,2454957.816,0.0009,23.0923,0.0006,3841,50,51,-0.18,0.1,0.1,0.535,0.012,0.012,0.535,0.013,0.014,4.71,0.03,0.03,3.5,0.3,0.3,0.01,0.005,0.005,0.1288,0.001,0.0010,0.0066,0.0019,0.0022,0.135,0.004,0.004,9.8,2.8,2.9,2.7,0.8,0.8,345.0,7.0,7.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
TOI-469b,TEP,93.05821,-14.65003,9.67,7.59,0.21,0.1,2459210.634,0.001,13.63083,3e-05,5289,69,69,0.24,0.05,0.05,0.88,0.04,0.03,0.993,0.035,0.033,4.39,0.03,0.03,1.01,0.07,0.07,-1.0,-1.0,-1.0,0.107,0.0016,0.0016,0.0302,0.0025,0.0025,0.31,0.006,0.007,-1.0,-1.0,-1,0.98,0.15,0.15,777.0,18.0,18.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
TOI-469c,TEP,93.05821,-14.65003,9.67,7.59,0.13,0.02,2459207.252,0.004,3.53796,3e-05,5289,69,69,0.24,0.05,0.05,0.88,0.04,0.03,0.993,0.035,0.033,4.39,0.03,0.03,1.01,0.07,0.07,-1.0,-1.0,-1.0,0.0436,0.0006,0.0007,0.0142,0.0009,0.0009,0.141,0.009,0.01,-1.0,-1.0,-1,4.7,1.3,1.0,1217.0,29.0,29.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
TOI-733,TEP,159.40933,-40.88825,9.44,7.85,0.109,0.04,2458545.7767,0.0027,4.884765,2.2e-05,5585,60,60,-0.04,0.05,0.05,0.956,0.05,0.026,0.949,0.008,0.012,4.47,0.05,0.05,-1.0,-1.0,-1.0,0.046,0.056,0.033,0.0618,0.0036,0.0039,0.018,0.0022,0.0021,0.1777,0.0076,0.008,17.5,3.4,3.2,3.0,0.58,0.5,1056.0,36.0,31.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
TOI-908,TEP,53.15942,-81.25075,11.32,9.64,0.102,0.1,2459384.292,0.002,3.183792,7e-06,5626,61,61,0.08,0.04,0.04,0.95,0.01,0.01,1.028,0.03,0.03,4.45,0.03,0.03,0.875,0.064,0.072,0.132,0.091,0.091,0.0417,0.0002,0.0002,0.051,0.013,0.013,0.2842,0.0049,0.0049,-1.0,-1.0,-1,2.07,0.18,0.27,1317.0,38.0,38.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
TOI-1054,TEP,302.11417,-54.31744,8.93,7.58,0.21,0.05,2458664.9718,0.0015,15.507612,3.8e-05,6088,62,62,-0.185,0.042,0.042,1.044,0.038,0.044,1.205,0.008,0.008,4.32,0.02,0.02,0.6,0.04,0.04,0.055,0.046,0.038,0.1236,0.002,0.0020,0.0242,0.0031,0.0031,0.2754,0.0052,0.0047,7.9,1.3,1.3,1.08,0.16,0.16,-1.0,-1.0,-1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
TOI-1470b,TEP,10.08912,61.21339,13.45,9.28,0.053,0.18,2458766.4702,0.0006,2.527093,4e-06,3709,11,11,0.0,0.03,0.03,0.471,0.011,0.011,0.469,0.003,0.003,4.77,0.02,0.02,-1.0,-1.0,-1.0,0.0,0.3,0.0,0.0285,0.0004,0.0004,0.023,0.0038,0.0039,0.194,0.004,0.004,-1.0,-1.0,-1,2.91,0.53,0.51,734.0,-1.0,-1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
