System,Teff,err,err.1,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup.1,errdn.1,loggA,errup.2,errdn.2,rho_A,errup.3,errdn.3,Period,e,errup.4,errdown,a(AU),errup.5,errdown.1,M_b,errup.6,errdn.4,R_b,errup.7,errdn.5,g_b,errup.8,errdn.6,rho_b,errup.9,errdn.7,Teq,err.2,err.3,Discovery_reference,Recent_reference
HD_307842,5558,100,100,-0.13,0.08,0.08,0.91,0.1,0.1,0.907,0.017,0.017,4.48,0.1,0.10,1.26,0.08,0.13,2.797,0.0,-1.0,-1.0,0.038,0.001,0.001,0.0304,0.0026,0.0026,0.172,0.01,0.008,-1.0,-1.0,-1,5.6,1.1,0.9,-1.0,-1.0,-1.0,2023AJ....166...32H,2023AJ....166...32H
K2-093c,6320,60,30,-0.1,0.07,0.07,1.16,0.04,0.04,1.273,0.015,0.015,4.294,0.006,0.006,0.563,0.006,0.006,31.698,0.04,0.04,0.03,0.2061,0.0024,0.0024,0.0138,0.0035,0.0035,0.2433,0.0054,0.0054,-1.0,-1.0,-1,0.9,0.23,0.23,757.0,7.0,4.0,2016ApJ...827L..10V,arXiv:1911.07355
K2-182,5710,100,100,0.12,0.06,0.06,0.865,0.016,0.018,0.793,0.013,0.011,4.61,0.1,0.1,-1.0,-1.0,-1.0,4.737,0.04,0.19,0.03,0.0526,0.0003,0.0003,0.063,0.016,0.016,0.24,0.006,0.004,-1.0,-1.0,-1,4.2,1.1,1.1,969.0,20.0,20.0,2018AJ....155..136M,2021AJ....162..294A
Kepler-138d,3841,50,51,-0.18,0.1,0.1,0.535,0.012,0.012,0.535,0.013,0.014,4.71,0.03,0.03,3.5,0.3,0.3,23.089,0.01,0.005,0.005,0.1288,0.001,0.0010,0.0066,0.0019,0.0022,0.135,0.004,0.004,9.8,2.8,2.9,2.7,0.8,0.8,345.0,7.0,7.0,2014ApJ...784...28K,2023NatAs...7..206P
TOI-469b,5289,69,69,0.24,0.05,0.05,0.88,0.04,0.03,0.993,0.035,0.033,4.39,0.03,0.03,1.01,0.07,0.07,13.631,-1.0,-1.0,-1.0,0.107,0.0016,0.0016,0.0302,0.0025,0.0025,0.31,0.006,0.007,-1.0,-1.0,-1,0.98,0.15,0.15,777.0,18.0,18.0,arXiv:2308.13310,arXiv:2308.13310
TOI-469c,5289,69,69,0.24,0.05,0.05,0.88,0.04,0.03,0.993,0.035,0.033,4.39,0.03,0.03,1.01,0.07,0.07,3.538,-1.0,-1.0,-1.0,0.0436,0.0006,0.0007,0.0142,0.0009,0.0009,0.141,0.009,0.01,-1.0,-1.0,-1,4.7,1.3,1.0,1217.0,29.0,29.0,arXiv:2308.13310,arXiv:2308.13310
TOI-733,5585,60,60,-0.04,0.05,0.05,0.956,0.05,0.026,0.949,0.008,0.012,4.47,0.05,0.05,-1.0,-1.0,-1.0,4.885,0.046,0.056,0.033,0.0618,0.0036,0.0039,0.018,0.0022,0.0021,0.1777,0.0076,0.008,17.5,3.4,3.2,3.0,0.58,0.5,1056.0,36.0,31.0,2023A+A...674A.117G,2023A+A...674A.117G
TOI-908,5626,61,61,0.08,0.04,0.04,0.95,0.01,0.01,1.028,0.03,0.03,4.45,0.03,0.03,0.875,0.064,0.072,3.184,0.132,0.091,0.091,0.0417,0.0002,0.0002,0.051,0.013,0.013,0.2842,0.0049,0.0049,-1.0,-1.0,-1,2.07,0.18,0.27,1317.0,38.0,38.0,2023MNRAS.524.3877H,2023MNRAS.524.3877H
TOI-1054,6088,62,62,-0.185,0.042,0.042,1.044,0.038,0.044,1.205,0.008,0.008,4.32,0.02,0.02,0.6,0.04,0.04,15.508,0.055,0.046,0.038,0.1236,0.002,0.0020,0.0242,0.0031,0.0031,0.2754,0.0052,0.0047,7.9,1.3,1.3,1.08,0.16,0.16,-1.0,-1.0,-1.0,2023A+A...675A.183C,2023A+A...675A.183C
TOI-1470b,3709,11,11,0.0,0.03,0.03,0.471,0.011,0.011,0.469,0.003,0.003,4.77,0.02,0.02,-1.0,-1.0,-1.0,2.527,0.0,0.3,0.0,0.0285,0.0004,0.0004,0.023,0.0038,0.0039,0.194,0.004,0.004,-1.0,-1.0,-1,2.91,0.53,0.51,734.0,-1.0,-1.0,2023A+A...675A.177G,2023A+A...675A.177G
