,m,T,a,p,wf,sys,ims
0,0.349296510219574,630.0360648023062,0.19609999656677246,31.71913925260474,,"('Gen-HM', 'run_01')","{'collision_time': array([2.06529750e-03, 8.26550050e-02, 2.58888973e-01, 2.46804710e+00]), 'mass_i': array([0.34929651, 0.68171239, 1.06207903, 1.97122009]), 'mass_j': array([0.33241588, 0.38036664, 0.90914106, 0.68987852]), 'particle_i': array([26, 26, 26, 26], dtype=int64), 'particle_j': array([25, 13, 10, 18], dtype=int64)}"
1,0.5363331437110901,475.6219267646842,0.3440999984741211,73.72792656563524,,"('Gen-HM', 'run_01')","{'collision_time': array([0.00400627, 0.00932385, 0.55932591]), 'mass_i': array([0.53633314, 1.0153093 , 1.46866503]), 'mass_j': array([0.47897616, 0.45335573, 0.88090545]), 'particle_i': array([34, 34, 34], dtype=int64), 'particle_j': array([32, 31, 24], dtype=int64)}"
4,0.3324158787727356,648.6618200107,0.1850000023841858,29.064483893233323,,"('Gen-HM', 'run_02')","{'collision_time': array([0.00289228, 0.00327833, 0.03247751, 0.26907568, 2.37594853]), 'mass_i': array([0.33241588, 0.64902252, 0.95080692, 1.46426138, 2.09749997]), 'mass_j': array([0.31660664, 0.3017844 , 0.51345447, 0.63323858, 1.60543102]), 'particle_i': array([25, 25, 25, 25, 25], dtype=int64), 'particle_j': array([24, 23, 20, 16, 13], dtype=int64)}"
5,0.47897616028785706,510.9170259963343,0.29820001125335693,59.479388880188125,,"('Gen-HM', 'run_02')","{'collision_time': array([0.00737012, 0.00979363, 0.18545209]), 'mass_i': array([0.47897616, 0.90849993, 1.25779644]), 'mass_j': array([0.42952377, 0.34929651, 1.61468539]), 'particle_i': array([32, 32, 32], dtype=int64), 'particle_j': array([30, 26, 31], dtype=int64)}"
6,0.5684662461280823,456.39687119927936,0.37369999289512634,83.4429498721099,,"('Gen-HM', 'run_02')","{'collision_time': array([0.01439137]), 'mass_i': array([0.56846625]), 'mass_j': array([0.53633314]), 'particle_i': array([35], dtype=int64), 'particle_j': array([34], dtype=int64)}"
8,0.1789633184671402,982.1264987270944,0.08070000261068344,8.373660281286469,,"('Gen-HM', 'run_03')","{'collision_time': array([0.00106376, 0.00204061, 0.00357012, 0.13756825]), 'mass_i': array([0.17896332, 0.34435296, 0.49183276, 0.64498162]), 'mass_j': array([0.16538964, 0.1474798 , 0.15314886, 0.39645427]), 'particle_i': array([11, 11, 11, 11], dtype=int64), 'particle_j': array([9, 6, 7, 4], dtype=int64)}"
9,0.38665151596069336,593.0802889930739,0.22130000591278076,38.02569432685924,,"('Gen-HM', 'run_03')","{'collision_time': array([0.00661228, 0.00676095, 1.01742846]), 'mass_i': array([0.38665152, 0.71906739, 1.0864087 ]), 'mass_j': array([0.33241588, 0.36734131, 1.40664285]), 'particle_i': array([28, 28, 28], dtype=int64), 'particle_j': array([25, 27, 24], dtype=int64)}"
10,0.5363331437110901,474.9323282887073,0.3450999855995178,74.04955043726068,,"('Gen-HM', 'run_03')","{'collision_time': array([0.00670266]), 'mass_i': array([0.53633314]), 'mass_j': array([0.50657064]), 'particle_i': array([34], dtype=int64), 'particle_j': array([33], dtype=int64)}"
11,0.1940639317035675,928.4538580776484,0.09030000120401382,9.911437543360487,,"('Gen-HM', 'run_04')","{'collision_time': array([0.00091717, 0.0528415 , 0.18547807]), 'mass_i': array([0.19406393, 0.37302725, 0.89043824]), 'mass_j': array([0.17896332, 0.51741099, 0.39645427]), 'particle_i': array([13, 13, 13], dtype=int64), 'particle_j': array([11, 12,  4], dtype=int64)}"
12,0.349296510219574,629.8754819688519,0.19619999825954437,31.743405229361098,,"('Gen-HM', 'run_04')","{'collision_time': array([0.00690417, 0.02374353, 0.06197605]), 'mass_i': array([0.34929651, 0.66590315, 1.30010343]), 'mass_j': array([0.31660664, 0.63420027, 0.82518506]), 'particle_i': array([26, 26, 26], dtype=int64), 'particle_j': array([24, 25, 22], dtype=int64)}"
13,0.5065706372261047,494.2894240248062,0.31859999895095825,65.68612909645962,,"('Gen-HM', 'run_04')","{'collision_time': array([0.0076134, 0.1113107]), 'mass_i': array([0.50657064, 0.95992637]), 'mass_j': array([0.45335573, 1.16132966]), 'particle_i': array([33, 33], dtype=int64), 'particle_j': array([31, 29], dtype=int64)}"
15,0.3673413097858429,608.2489043645799,0.21040000021457672,35.25117668680598,,"('Gen-HM', 'run_05')","{'collision_time': array([0.00247592, 0.00902652, 0.07960891, 1.34432542]), 'mass_i': array([0.36734131, 0.71663782, 1.0490537 , 1.64045769]), 'mass_j': array([0.34929651, 0.33241588, 0.59140399, 1.14307396]), 'particle_i': array([27, 27, 27, 27], dtype=int64), 'particle_j': array([26, 25, 24, 19], dtype=int64)}"
18,0.349296510219574,630.8408013020518,0.1956000030040741,31.597905808076295,,"('Gen-HM', 'run_06')","{'collision_time': array([0.00786156, 0.52773891]), 'mass_i': array([0.34929651, 0.68171239]), 'mass_j': array([0.33241588, 1.69451615]), 'particle_i': array([26, 26], dtype=int64), 'particle_j': array([25, 24], dtype=int64)}"
22,0.21091079711914062,880.9550281152331,0.10029999911785126,11.602629069109186,,"('Gen-HM', 'run_07')","{'collision_time': array([0.00120756, 0.1577055 , 0.60764529]), 'mass_i': array([0.2109108 , 0.41316618, 0.77146399]), 'mass_j': array([0.20225538, 0.35829781, 0.99828526]), 'particle_i': array([15, 15, 15], dtype=int64), 'particle_j': array([14, 12,  8], dtype=int64)}"
23,0.5684662461280823,453.07493035169836,0.3792000114917755,85.291848575046,,"('Gen-HM', 'run_07')","{'collision_time': array([0.06094878, 1.92504777]), 'mass_i': array([0.56846625, 0.93580756]), 'mass_j': array([0.36734131, 2.55614513]), 'particle_i': array([35, 35], dtype=int64), 'particle_j': array([27, 31], dtype=int64)}"
27,0.1531488597393036,1084.3642689005576,0.06620000302791595,6.221455919903366,,"('Gen-HM', 'run_08')","{'collision_time': array([0.00062673, 0.00142581, 0.00329691, 0.03910487]), 'mass_i': array([0.15314886, 0.30062866, 0.44271781, 0.57479331]), 'mass_j': array([0.1474798 , 0.14208914, 0.1320755 , 0.26437877]), 'particle_i': array([7, 7, 7, 7], dtype=int64), 'particle_j': array([6, 5, 3, 4], dtype=int64)}"
28,0.21091079711914062,881.3945242561109,0.10019999742507935,11.58528121315132,,"('Gen-HM', 'run_08')","{'collision_time': array([0.0017317 , 0.00669287, 0.04801581]), 'mass_i': array([0.2109108 , 0.40497473, 0.79353282]), 'mass_j': array([0.19406393, 0.38855809, 0.67546125]), 'particle_i': array([15, 15, 15], dtype=int64), 'particle_j': array([13, 14, 11], dtype=int64)}"
29,0.38665151596069336,586.2327756948424,0.226500004529953,39.37380054947806,,"('Gen-HM', 'run_08')","{'collision_time': array([0.00568401, 0.00956604, 0.04624955, 0.0466875 ]), 'mass_i': array([0.38665152, 0.75399283, 1.33311388, 1.82409458]), 'mass_j': array([0.36734131, 0.57912105, 0.4909807 , 0.63420027]), 'particle_i': array([28, 28, 28, 28], dtype=int64), 'particle_j': array([27, 24, 19, 25], dtype=int64)}"
33,0.20225538313388824,907.1072462811129,0.09459999948740005,10.627759439252866,,"('Gen-HM', 'run_09')","{'collision_time': array([6.16581000e-04, 2.59368200e-03, 1.56239925e+00]), 'mass_i': array([0.20225538, 0.39631931, 0.58262202]), 'mass_j': array([0.19406393, 0.18630271, 0.70871632]), 'particle_i': array([14, 14, 14], dtype=int64), 'particle_j': array([13, 12,  8], dtype=int64)}"
34,0.4073368310928345,566.7969346468882,0.24230000376701355,43.56474194056064,,"('Gen-HM', 'run_09')","{'collision_time': array([0.0038104 , 0.01674879, 0.01846055, 0.17045456]), 'mass_i': array([0.40733683, 0.79398835, 1.14328486, 1.40579927]), 'mass_j': array([0.38665152, 0.34929651, 0.26251441, 0.90899763]), 'particle_i': array([29, 29, 29, 29], dtype=int64), 'particle_j': array([28, 26, 20, 25], dtype=int64)}"
35,0.5363331437110901,473.08526646568157,0.34779998660087585,74.92027380150972,,"('Gen-HM', 'run_09')","{'collision_time': array([0.02422492, 0.0287772 ]), 'mass_i': array([0.53633314, 0.96585691]), 'mass_j': array([0.42952377, 0.93233189]), 'particle_i': array([34, 34], dtype=int64), 'particle_j': array([30, 32], dtype=int64)}"
38,0.2400406450033188,809.802005673508,0.11869999766349792,14.937608749392773,,"('Gen-HM', 'run_10')","{'collision_time': array([0.00142901, 0.00232114]), 'mass_i': array([0.24004065, 0.46980612]), 'mass_j': array([0.22976547, 0.2109108 ]), 'particle_i': array([18, 18], dtype=int64), 'particle_j': array([17, 15], dtype=int64)}"
39,0.5363331437110901,477.91913399828235,0.3407999873161316,72.66986767090816,,"('Gen-HM', 'run_10')","{'collision_time': array([0.01108828, 0.05075856, 0.05692824, 0.09190199]), 'mass_i': array([0.53633314, 0.96585691, 1.75984526, 2.74539205]), 'mass_j': array([0.42952377, 0.79398835, 0.9855468 , 0.45335573]), 'particle_i': array([34, 34, 34, 34], dtype=int64), 'particle_j': array([30, 29, 33, 31], dtype=int64)}"
42,0.3017843961715698,697.9363618206875,0.1597999930381775,23.332976763763735,,"('Gen-HM', 'run_11')","{'collision_time': array([0.01005506, 0.01147877, 0.54924374]), 'mass_i': array([0.3017844 , 0.56429881, 1.06886163]), 'mass_j': array([0.26251441, 0.50456282, 0.98165774]), 'particle_i': array([23, 23, 23], dtype=int64), 'particle_j': array([20, 21, 16], dtype=int64)}"
46,0.1719951033592224,1016.0580563153878,0.07540000230073929,7.562441935322159,,"('Gen-HM', 'run_12')","{'collision_time': array([0.00033343, 0.00069316, 0.16147721]), 'mass_i': array([0.1719951 , 0.33110829, 0.49649793]), 'mass_j': array([0.15911318, 0.16538964, 0.53854342]), 'particle_i': array([10, 10, 10], dtype=int64), 'particle_j': array([8, 9, 5], dtype=int64)}"
47,0.27479735016822815,738.3122845092996,0.1428000032901764,19.7104863564845,,"('Gen-HM', 'run_12')","{'collision_time': array([0.00322111, 0.01369086, 0.0138682 , 0.06404721]), 'mass_i': array([0.27479735, 0.53731176, 0.78825182, 1.02829246]), 'mass_j': array([0.26251441, 0.25094005, 0.24004065, 0.4309832 ]), 'particle_i': array([21, 21, 21, 21], dtype=int64), 'particle_j': array([20, 19, 18, 16], dtype=int64)}"
51,0.220072403550148,855.7316172105154,0.1062999963760376,12.659160001801215,,"('Gen-HM', 'run_13')","{'collision_time': array([0.00149153, 0.00159738, 0.12201434, 0.30713798]), 'mass_i': array([0.2200724 , 0.4309832 , 0.63323858, 1.14331019]), 'mass_j': array([0.2109108 , 0.20225538, 0.51007161, 0.83917208]), 'particle_i': array([16, 16, 16, 16], dtype=int64), 'particle_j': array([15, 14, 11,  7], dtype=int64)}"
52,0.2878732979297638,713.9777450131161,0.1527000069618225,21.795337565661892,,"('Gen-HM', 'run_13')","{'collision_time': array([0.00242511, 0.00291481, 0.00657301, 0.02095144, 0.18330675]), 'mass_i': array([0.2878733 , 0.52791394, 0.79042836, 1.06522571, 1.54593123]), 'mass_j': array([0.24004065, 0.26251441, 0.27479735, 0.48070553, 0.54575628]), 'particle_i': array([22, 22, 22, 22, 22], dtype=int64), 'particle_j': array([18, 20, 21, 19, 13], dtype=int64)}"
53,0.5684662461280823,454.7570069176258,0.3763999938964844,84.34890053136931,,"('Gen-HM', 'run_13')","{'collision_time': array([0.0057545 , 0.01854295, 0.08525962]), 'mass_i': array([0.56846625, 1.07503688, 1.98353681]), 'mass_j': array([0.50657064, 0.90849993, 0.98968887]), 'particle_i': array([35, 35, 35], dtype=int64), 'particle_j': array([33, 32, 34], dtype=int64)}"
