,m,T,a,p,wf,sys,ims
0,0.349296510219574,203.23744025880848,0.19609999656677246,53.6151309913304,0.0,"('Gen-HM', 'run_01')","{'collision_time': array([2.06529750e-03, 8.26550050e-02, 2.58888973e-01, 2.46804710e+00]), 'mass_i': array([0.34929651, 0.68171239, 1.06207903, 1.97122009]), 'mass_j': array([0.33241588, 0.38036664, 0.90914106, 0.68987852]), 'particle_i': array([26, 26, 26, 26], dtype=int64), 'particle_j': array([25, 13, 10, 18], dtype=int64)}"
4,0.3324158787727356,209.24574839054839,0.1850000023841858,49.12794444770917,0.0,"('Gen-HM', 'run_02')","{'collision_time': array([0.00289228, 0.00327833, 0.03247751, 0.26907568, 2.37594853]), 'mass_i': array([0.33241588, 0.64902252, 0.95080692, 1.46426138, 2.09749997]), 'mass_j': array([0.31660664, 0.3017844 , 0.51345447, 0.63323858, 1.60543102]), 'particle_i': array([25, 25, 25, 25, 25], dtype=int64), 'particle_j': array([24, 23, 20, 16, 13], dtype=int64)}"
8,0.1789633184671402,316.81499958938525,0.08070000261068344,14.15406922876089,0.0,"('Gen-HM', 'run_03')","{'collision_time': array([0.00106376, 0.00204061, 0.00357012, 0.13756825]), 'mass_i': array([0.17896332, 0.34435296, 0.49183276, 0.64498162]), 'mass_j': array([0.16538964, 0.1474798 , 0.15314886, 0.39645427]), 'particle_i': array([11, 11, 11, 11], dtype=int64), 'particle_j': array([9, 6, 7, 4], dtype=int64)}"
9,0.38665151596069336,191.31622225583027,0.22130000591278076,64.2751546987022,0.0,"('Gen-HM', 'run_03')","{'collision_time': array([0.00661228, 0.00676095, 1.01742846]), 'mass_i': array([0.38665152, 0.71906739, 1.0864087 ]), 'mass_j': array([0.33241588, 0.36734131, 1.40664285]), 'particle_i': array([28, 28, 28], dtype=int64), 'particle_j': array([25, 27, 24], dtype=int64)}"
11,0.1940639317035675,299.5012445411769,0.09030000120401382,16.753387220494144,0.0,"('Gen-HM', 'run_04')","{'collision_time': array([0.00091717, 0.0528415 , 0.18547807]), 'mass_i': array([0.19406393, 0.37302725, 0.89043824]), 'mass_j': array([0.17896332, 0.51741099, 0.39645427]), 'particle_i': array([13, 13, 13], dtype=int64), 'particle_j': array([11, 12,  4], dtype=int64)}"
12,0.349296510219574,203.1856393447909,0.19619999825954437,53.65614797833196,0.0,"('Gen-HM', 'run_04')","{'collision_time': array([0.00690417, 0.02374353, 0.06197605]), 'mass_i': array([0.34929651, 0.66590315, 1.30010343]), 'mass_j': array([0.31660664, 0.63420027, 0.82518506]), 'particle_i': array([26, 26, 26], dtype=int64), 'particle_j': array([24, 25, 22], dtype=int64)}"
15,0.3673413097858429,196.20932398857414,0.21040000021457672,59.58536392208152,0.0,"('Gen-HM', 'run_05')","{'collision_time': array([0.00247592, 0.00902652, 0.07960891, 1.34432542]), 'mass_i': array([0.36734131, 0.71663782, 1.0490537 , 1.64045769]), 'mass_j': array([0.34929651, 0.33241588, 0.59140399, 1.14307396]), 'particle_i': array([27, 27, 27, 27], dtype=int64), 'particle_j': array([26, 25, 24, 19], dtype=int64)}"
18,0.349296510219574,203.4970326780812,0.1956000030040741,53.410209068413174,0.0,"('Gen-HM', 'run_06')","{'collision_time': array([0.00786156, 0.52773891]), 'mass_i': array([0.34929651, 0.68171239]), 'mass_j': array([0.33241588, 1.69451615]), 'particle_i': array([26, 26], dtype=int64), 'particle_j': array([25, 24], dtype=int64)}"
22,0.21091079711914062,284.17904132749453,0.10029999911785126,19.61202264758879,0.0,"('Gen-HM', 'run_07')","{'collision_time': array([0.00120756, 0.1577055 , 0.60764529]), 'mass_i': array([0.2109108 , 0.41316618, 0.77146399]), 'mass_j': array([0.20225538, 0.35829781, 0.99828526]), 'particle_i': array([15, 15, 15], dtype=int64), 'particle_j': array([14, 12,  8], dtype=int64)}"
27,0.1531488597393036,349.7949254517928,0.06620000302791595,10.516179882624492,0.0,"('Gen-HM', 'run_08')","{'collision_time': array([0.00062673, 0.00142581, 0.00329691, 0.03910487]), 'mass_i': array([0.15314886, 0.30062866, 0.44271781, 0.57479331]), 'mass_j': array([0.1474798 , 0.14208914, 0.1320755 , 0.26437877]), 'particle_i': array([7, 7, 7, 7], dtype=int64), 'particle_j': array([6, 5, 3, 4], dtype=int64)}"
28,0.21091079711914062,284.3208142761648,0.10019999742507935,19.58269941904238,0.0,"('Gen-HM', 'run_08')","{'collision_time': array([0.0017317 , 0.00669287, 0.04801581]), 'mass_i': array([0.2109108 , 0.40497473, 0.79353282]), 'mass_j': array([0.19406393, 0.38855809, 0.67546125]), 'particle_i': array([15, 15, 15], dtype=int64), 'particle_j': array([13, 14, 11], dtype=int64)}"
29,0.38665151596069336,189.10734699833625,0.226500004529953,66.55387011844675,0.0,"('Gen-HM', 'run_08')","{'collision_time': array([0.00568401, 0.00956604, 0.04624955, 0.0466875 ]), 'mass_i': array([0.38665152, 0.75399283, 1.33311388, 1.82409458]), 'mass_j': array([0.36734131, 0.57912105, 0.4909807 , 0.63420027]), 'particle_i': array([28, 28, 28, 28], dtype=int64), 'particle_j': array([27, 24, 19, 25], dtype=int64)}"
33,0.20225538313388824,292.61524073584286,0.09459999948740005,17.964192216631428,0.0,"('Gen-HM', 'run_09')","{'collision_time': array([6.16581000e-04, 2.59368200e-03, 1.56239925e+00]), 'mass_i': array([0.20225538, 0.39631931, 0.58262202]), 'mass_j': array([0.19406393, 0.18630271, 0.70871632]), 'particle_i': array([14, 14, 14], dtype=int64), 'particle_j': array([13, 12,  8], dtype=int64)}"
34,0.4073368310928345,182.83772085383492,0.24230000376701355,73.63785401442937,0.0,"('Gen-HM', 'run_09')","{'collision_time': array([0.0038104 , 0.01674879, 0.01846055, 0.17045456]), 'mass_i': array([0.40733683, 0.79398835, 1.14328486, 1.40579927]), 'mass_j': array([0.38665152, 0.34929651, 0.26251441, 0.90899763]), 'particle_i': array([29, 29, 29, 29], dtype=int64), 'particle_j': array([28, 26, 20, 25], dtype=int64)}"
38,0.2400406450033188,261.2264534430671,0.11869999766349792,25.249167180038434,0.0,"('Gen-HM', 'run_10')","{'collision_time': array([0.00142901, 0.00232114]), 'mass_i': array([0.24004065, 0.46980612]), 'mass_j': array([0.22976547, 0.2109108 ]), 'particle_i': array([18, 18], dtype=int64), 'particle_j': array([17, 15], dtype=int64)}"
42,0.3017843961715698,225.14076187764113,0.1597999930381775,39.43992917475306,0.0,"('Gen-HM', 'run_11')","{'collision_time': array([0.01005506, 0.01147877, 0.54924374]), 'mass_i': array([0.3017844 , 0.56429881, 1.06886163]), 'mass_j': array([0.26251441, 0.50456282, 0.98165774]), 'particle_i': array([23, 23, 23], dtype=int64), 'particle_j': array([20, 21, 16], dtype=int64)}"
46,0.1719951033592224,327.7606633275445,0.07540000230073929,12.78285995554976,0.0,"('Gen-HM', 'run_12')","{'collision_time': array([0.00033343, 0.00069316, 0.16147721]), 'mass_i': array([0.1719951 , 0.33110829, 0.49649793]), 'mass_j': array([0.15911318, 0.16538964, 0.53854342]), 'particle_i': array([10, 10, 10], dtype=int64), 'particle_j': array([8, 9, 5], dtype=int64)}"
47,0.27479735016822815,238.165253067516,0.1428000032901764,33.316802813902505,0.0,"('Gen-HM', 'run_12')","{'collision_time': array([0.00322111, 0.01369086, 0.0138682 , 0.06404721]), 'mass_i': array([0.27479735, 0.53731176, 0.78825182, 1.02829246]), 'mass_j': array([0.26251441, 0.25094005, 0.24004065, 0.4309832 ]), 'particle_i': array([21, 21, 21, 21], dtype=int64), 'particle_j': array([20, 19, 18, 16], dtype=int64)}"
51,0.220072403550148,276.0424571646824,0.1062999963760376,21.397885873622705,0.0,"('Gen-HM', 'run_13')","{'collision_time': array([0.00149153, 0.00159738, 0.12201434, 0.30713798]), 'mass_i': array([0.2200724 , 0.4309832 , 0.63323858, 1.14331019]), 'mass_j': array([0.2109108 , 0.20225538, 0.51007161, 0.83917208]), 'particle_i': array([16, 16, 16, 16], dtype=int64), 'particle_j': array([15, 14, 11,  7], dtype=int64)}"
52,0.2878732979297638,230.31540161713423,0.1527000069618225,36.84084455372684,0.0,"('Gen-HM', 'run_13')","{'collision_time': array([0.00242511, 0.00291481, 0.00657301, 0.02095144, 0.18330675]), 'mass_i': array([0.2878733 , 0.52791394, 0.79042836, 1.06522571, 1.54593123]), 'mass_j': array([0.24004065, 0.26251441, 0.27479735, 0.48070553, 0.54575628]), 'particle_i': array([22, 22, 22, 22, 22], dtype=int64), 'particle_j': array([18, 20, 21, 19, 13], dtype=int64)}"
55,0.18630270659923553,309.7927791951476,0.0843999981880188,15.138562850746393,0.0,"('Gen-HM', 'run_14')","{'collision_time': array([0.00278699, 0.00284158, 0.49362811]), 'mass_i': array([0.18630271, 0.36526603, 0.53726113]), 'mass_j': array([0.17896332, 0.1719951 , 0.53854342]), 'particle_i': array([12, 12, 12], dtype=int64), 'particle_j': array([11, 10,  5], dtype=int64)}"
56,0.2509400546550751,252.5460859399257,0.12700000405311584,27.943229297396137,0.0,"('Gen-HM', 'run_14')","{'collision_time': array([0.00296719]), 'mass_i': array([0.25094005]), 'mass_j': array([0.24004065]), 'particle_i': array([19], dtype=int64), 'particle_j': array([18], dtype=int64)}"
59,0.21091079711914062,284.60498729468173,0.10000000149011612,19.52409903809053,0.0,"('Gen-HM', 'run_15')","{'collision_time': array([0.00071696, 0.0026608 , 0.03332976]), 'mass_i': array([0.2109108 , 0.41316618, 0.77922522]), 'mass_j': array([0.20225538, 0.36605904, 0.53065567]), 'particle_i': array([15, 15, 15], dtype=int64), 'particle_j': array([14, 13, 12], dtype=int64)}"
63,0.21091079711914062,284.17904132749453,0.10029999911785126,19.61202264758879,0.0,"('Gen-HM', 'run_16')","{'collision_time': array([0.00092673, 0.0026167 , 0.00886801]), 'mass_i': array([0.2109108 , 0.40497473, 0.60723011]), 'mass_j': array([0.19406393, 0.20225538, 0.36526603]), 'particle_i': array([15, 15, 15], dtype=int64), 'particle_j': array([13, 14, 12], dtype=int64)}"
64,0.45335572957992554,170.81766701375182,0.2775999903678894,90.30258079197743,0.0,"('Gen-HM', 'run_16')","{'collision_time': array([0.01365914, 0.03393309, 0.218839  ]), 'mass_i': array([0.45335573, 0.8828795 , 1.26953101]), 'mass_j': array([0.42952377, 0.38665152, 0.64902252]), 'particle_i': array([31, 31, 31], dtype=int64), 'particle_j': array([30, 28, 25], dtype=int64)}"
68,0.1940639317035675,299.9999940395357,0.09000000357627869,16.669968621233224,0.0,"('Gen-HM', 'run_17')","{'collision_time': array([0.00299776]), 'mass_i': array([0.19406393]), 'mass_j': array([0.17896332]), 'particle_i': array([13], dtype=int64), 'particle_j': array([11], dtype=int64)}"
69,0.3673413097858429,196.39610427828174,0.20999999344348907,59.415521595484385,0.0,"('Gen-HM', 'run_17')","{'collision_time': array([0.00418194, 0.00502714]), 'mass_i': array([0.36734131, 0.69975719]), 'mass_j': array([0.33241588, 0.3017844 ]), 'particle_i': array([27, 27], dtype=int64), 'particle_j': array([25, 23], dtype=int64)}"
72,0.20225538313388824,291.53860222826427,0.09529999643564224,18.163950883951305,0.0,"('Gen-HM', 'run_18')","{'collision_time': array([0.00123655, 0.001828  , 0.00254221, 0.01324809, 0.13617725]), 'mass_i': array([0.20225538, 0.39631931, 0.58262202, 0.76158534, 1.09269363]), 'mass_j': array([0.19406393, 0.18630271, 0.17896332, 0.33110829, 0.86760172]), 'particle_i': array([14, 14, 14, 14, 14], dtype=int64), 'particle_j': array([13, 12, 11, 10,  9], dtype=int64)}"
